energy,taskid
-18489.39044,0
-18485.94672,1
-18485.1081,10
-18485.9282,100
-18485.08117,1000
-18487.7304,1001
-18485.30605,1002
-18486.14903,1003
-18484.66564,1004
-18484.51619,1005
-18484.76191,1006
-18483.94052,1007
-18485.16397,1008
-18486.12112,1009
-18484.35998,101
-18487.44244,1010
-18484.09291,1011
-18485.49601,1012
-18484.42625,1013
-18485.90213,1014
-18484.36773,1015
-18486.43833,1016
-18485.45468,1017
-18484.33122,1018
-18485.91646,1019
-18485.22509,102
-18487.21691,1020
-18484.8133,1021
-18484.75378,1022
-18481.02036,1023
-18482.58629,1024
-18486.18886,1025
-18484.66396,1026
-18484.33691,1027
-18485.64472,1028
-18485.14712,1029
-18484.76782,103
-18484.34613,1030
-18485.56704,1031
-18485.48777,1032
-18485.80112,1033
-18486.07649,1034
-18486.86434,1035
-18485.36587,1036
-18484.63306,1037
-18486.88646,1038
-18483.90446,1039
-18485.87093,104
-18485.11794,1040
-18485.00737,1041
-18485.07978,1042
-18485.05486,1043
-18484.5512,1044
-18486.16192,1045
-18485.61397,1046
-18484.92402,1047
-18485.4079,1048
-18487.1349,1049
-18485.47324,105
-18484.65479,1050
-18485.21377,1051
-18484.49941,1052
-18485.11465,1053
-18486.16822,1054
-18486.63911,1055
-18485.50367,1056
-18484.68371,1057
-18485.30835,1058
-18484.8965,1059
-18486.0918,106
-18485.24491,1060
-18484.7482,1061
-18484.81985,1062
-18485.28117,1063
-18485.75266,1064
-18484.3275,1065
-18485.6399,1066
-18484.97334,1067
-18486.78958,1068
-18484.87845,1069
-18483.8566,107
-18484.27277,1070
-18483.77668,1071
-18486.97206,1072
-18483.87084,1073
-18483.65644,1074
-18484.91026,1075
-18485.66111,1076
-18484.31815,1077
-18483.56137,1078
-18484.68988,1079
-18483.31086,108
-18483.12471,1080
-18486.25466,1081
-18487.4771,1082
-18485.39358,1083
-18484.1709,1084
-18483.99952,1085
-18483.93561,1086
-18486.16544,1087
-18483.7595,1088
-18482.54839,1089
-18486.1529,109
-18486.9177,1090
-18485.35056,1091
-18483.78438,1092
-18484.47625,1093
-18486.377,1094
-18482.44382,1095
-18486.31453,1096
-18483.84189,1097
-18485.48421,1098
-18486.20851,1099
-18487.34576,11
-18484.61826,110
-18482.65329,1100
-18485.78807,1101
-18485.68771,1102
-18486.07761,1103
-18486.15006,1104
-18483.83939,1105
-18485.17432,1106
-18485.06166,1107
-18484.53967,1108
