taskid,energy,Gnorm,a,b,c,alpha,beta,gamma,V,Static_xx,Static_yy,Static_zz,ε0,HighFreq_xx,HighFreq_yy,HighFreq_zz,ε∞,Bulk0,Shear0,Young0,C11,C12,C44,V_La_avg,V_Ce_avg,V_O_avg,Weight,Wi
0,-15900.64243220,0.00000005,19.012074,20.270883,19.452900,89.638953,89.897952,89.976468,7496.821556,6.699302,21.88291,21.17804,21.07797,21.37964,4.10246,4.07839,3.90906,4.02997,157.08545,58.83891,169.68395,259.5993,129.6201,63.8386,-29.71860465000001,-39.99523042000001,21.337944699999998,0.0,0.0
1,-15918.81582653,0.00000007,19.409446,20.347072,19.244793,89.844525,90.020707,90.124334,7600.211020,6.608168,21.82441,19.87588,21.34114,21.013809999999996,3.93632,3.94925,3.94542,3.9436633333333333,142.80339,63.92455,165.39100,226.2432,94.0674,67.9349,-29.3836675125,-40.0495102,21.45064472500001,3.500234029139219e-125,3.5000461866509003e-125
10,-15917.73556572,0.00000004,19.522411,20.302363,19.099734,89.936424,90.227974,90.110510,7570.121623,6.634434,21.33864,21.53399,22.91043,21.92768666666667,3.97553,3.95273,4.00804,3.9787666666666666,148.30748,62.40980,160.89114,229.3595,108.2941,65.9457,-29.483242724999997,-40.004613510000006,21.409550678125008,2.4918058455451487e-143,2.4916721210551466e-143
100,-15916.07867975,0.00004487,19.559499,20.313524,19.098376,90.076822,90.195313,89.966611,7588.159604,6.618663,21.12385,20.64784,21.01800,20.929896666666668,3.92736,3.93715,3.94822,3.9375766666666667,149.16345,65.50432,166.88101,234.5005,101.9008,70.8504,-29.501307487500007,-40.03984097999998,0,3.6480012319998606e-171,3.6478054594820503e-171
1000,-15917.98627915,0.00003332,19.531004,20.266936,19.158890,90.255408,90.254289,89.907941,7583.573005,6.622666,21.43810,22.52579,21.22289,21.728926666666666,3.96949,3.94480,3.94663,3.95364,144.05167,64.62878,157.62482,219.4124,96.6557,71.2432,0,-39.99215508,21.404882293750006,4.058022505303911e-139,4.057804728709916e-139
1002,-15917.63344654,0.00000073,19.569531,20.261277,19.120434,89.752429,89.946585,89.934508,7581.243558,6.624701,22.34727,23.95514,22.88413,23.06218,3.92511,3.93194,3.95381,3.9369533333333333,143.21156,64.38455,165.32961,224.0622,94.1200,68.7270,-29.434773125000014,0,0,4.797196204498752e-145,4.796938759635207e-145
1003,-15920.33227125,0.00002056,19.497369,20.301710,19.136093,90.122536,90.204240,89.840785,7574.543862,6.630560,22.01042,21.00165,22.10622,21.706096666666667,3.94154,3.94322,3.99284,3.9592000000000005,145.76793,65.54687,165.36139,227.6721,100.0039,70.0186,-29.434773125000014,-40.02620385000001,21.4388174375,1.0453149132315459e-99,1.045258815681284e-99
1004,-15918.14375837,0.00001159,19.536454,20.252411,19.158609,90.111085,89.827656,89.862215,7580.230396,6.625586,20.86909,20.82084,21.52797,21.072633333333332,3.97038,3.94037,3.96785,3.9595333333333333,150.39135,66.01565,170.50474,239.6719,107.1327,68.4535,0,0,21.443031350000005,1.7941093516458307e-136,1.7940130695223718e-136
1005,-15917.33120414,0.00000528,19.527441,20.212642,19.185807,90.256381,89.897741,90.083631,7572.564343,6.632294,22.77949,21.08671,21.51844,21.794879999999996,3.94771,3.97668,3.94103,3.95514,148.35113,63.06957,163.15013,231.2199,103.7588,69.6552,-29.471134787499988,-40.01798087,21.397641915624995,4.0136420132313514e-150,4.0134266183472634e-150
1006,-15914.08838260,0.00003528,19.577729,20.273980,19.138420,90.140715,90.333188,90.162637,7596.210358,6.611648,22.33337,21.65882,20.01895,21.337046666666666,3.92641,3.89357,3.94348,3.9211533333333333,146.38105,62.97661,164.78254,230.3882,104.5112,66.9326,0,-39.98222552999999,21.444922321875012,1.338241355346173e-204,1.3381695376951054e-204
