x_LiConc, GrandPotential, u, -u
0.00050000, 5.65564435, -4.21250000, 4.21250000
0.00100000, 5.65560289, -4.15500000, 4.15500000
0.00150000, 5.65555982, -4.12000000, 4.12000000
0.00200000, 5.65551631, -4.09500000, 4.09500000
0.00250000, 5.65547124, -4.07500000, 4.07500000
0.00300000, 5.65543002, -4.06000000, 4.06000000
0.00350000, 5.65538123, -4.04500000, 4.04500000
0.00400000, 5.65533388, -4.03250000, 4.03250000
0.00450000, 5.65529104, -4.02250000, 4.02250000
0.00500000, 5.65524331, -4.01250000, 4.01250000
0.00550000, 5.65520401, -4.00500000, 4.00500000
0.00600000, 5.65514654, -3.99500000, 3.99500000
0.00650000, 5.65509933, -3.98750000, 3.98750000
0.00700000, 5.65504834, -3.98000000, 3.98000000
0.00750000, 5.65501214, -3.97500000, 3.97500000
0.00800000, 5.65495432, -3.96750000, 3.96750000
0.00850000, 5.65491333, -3.96250000, 3.96250000
0.00900000, 5.65484799, -3.95500000, 3.95500000
0.00950000, 5.65480174, -3.95000000, 3.95000000
0.01000000, 5.65475325, -3.94500000, 3.94500000
0.01050000, 5.65470245, -3.94000000, 3.94000000
0.01100000, 5.65464926, -3.93500000, 3.93500000
0.01150000, 5.65459361, -3.93000000, 3.93000000
0.01200000, 5.65453542, -3.92500000, 3.92500000
0.01250000, 5.65447462, -3.92000000, 3.92000000
0.01300000, 5.65441114, -3.91500000, 3.91500000
0.01350000, 5.65434490, -3.91000000, 3.91000000
0.01400000, 5.65427585, -3.90500000, 3.90500000
0.01450000, 5.65424024, -3.90250000, 3.90250000
0.01500000, 5.65416684, -3.89750000, 3.89750000
0.01550000, 5.65409046, -3.89250000, 3.89250000
0.01600000, 5.65405114, -3.89000000, 3.89000000
0.01650000, 5.65397020, -3.88500000, 3.88500000
0.01700000, 5.65388616, -3.88000000, 3.88000000
0.01750000, 5.65384295, -3.87750000, 3.87750000
0.01800000, 5.65375416, -3.87250000, 3.87250000
0.01850000, 5.65370856, -3.87000000, 3.87000000
0.01900000, 5.65361494, -3.86500000, 3.86500000
0.01950000, 5.65356690, -3.86250000, 3.86250000
0.02000000, 5.65346837, -3.85750000, 3.85750000
0.02050000, 5.65341787, -3.85500000, 3.85500000
0.02100000, 5.65331437, -3.85000000, 3.85000000
0.02150000, 5.65326138, -3.84750000, 3.84750000
0.02200000, 5.65315288, -3.84250000, 3.84250000
0.02250000, 5.65309738, -3.84000000, 3.84000000
0.02300000, 5.65298386, -3.83500000, 3.83500000
0.02350000, 5.65292584, -3.83250000, 3.83250000
0.02400000, 5.65280729, -3.82750000, 3.82750000
0.02450000, 5.65274676, -3.82500000, 3.82500000
0.02500000, 5.65262320, -3.82000000, 3.82000000
0.02550000, 5.65256016, -3.81750000, 3.81750000
0.02600000, 5.65243161, -3.81250000, 3.81250000
0.02650000, 5.65236609, -3.81000000, 3.81000000
0.02700000, 5.65223258, -3.80500000, 3.80500000
0.02750000, 5.65216460, -3.80250000, 3.80250000
0.02800000, 5.65202620, -3.79750000, 3.79750000
0.02850000, 5.65188457, -3.79250000, 3.79250000
0.02900000, 5.65181256, -3.79000000, 3.79000000
0.02950000, 5.65166614, -3.78500000, 3.78500000
0.03000000, 5.65159176, -3.78250000, 3.78250000
0.03050000, 5.65144064, -3.77750000, 3.77750000
0.03100000, 5.65128643, -3.77250000, 3.77250000
0.03150000, 5.65120819, -3.77000000, 3.77000000
0.03200000, 5.65104942, -3.76500000, 3.76500000
0.03250000, 5.65096891, -3.76250000, 3.76250000
0.03300000, 5.65080567, -3.75750000, 3.75750000
0.03350000, 5.65063950, -3.75250000, 3.75250000
0.03400000, 5.65047043, -3.74750000, 3.74750000
0.03450000, 5.65038482, -3.74500000, 3.74500000
0.03500000, 5.65021148, -3.74000000, 3.74000000
0.03550000, 5.65003533, -3.73500000, 3.73500000
0.03600000, 5.64985640, -3.73000000, 3.73000000
0.03650000, 5.64967473, -3.72500000, 3.72500000
0.03700000, 5.64958288, -3.72250000, 3.72250000
0.03750000, 5.64939713, -3.71750000, 3.71750000
0.03800000, 5.64920870, -3.71250000, 3.71250000
0.03850000, 5.64901759, -3.70750000, 3.70750000
0.03900000, 5.64882381, -3.70250000, 3.70250000
0.03950000, 5.64862736, -3.69750000, 3.69750000
0.04000000, 5.64842825, -3.69250000, 3.69250000
0.04050000, 5.64822645, -3.68750000, 3.68750000
0.04100000, 5.64812454, -3.68500000, 3.68500000
0.04150000, 5.64791868, -3.68000000, 3.68000000
0.04200000, 5.64771007, -3.67500000, 3.67500000
0.04250000, 5.64749866, -3.67000000, 3.67000000
0.04300000, 5.64728440, -3.66500000, 3.66500000
0.04350000, 5.64717617, -3.66250000, 3.66250000
0.04400000, 5.64695749, -3.65750000, 3.65750000
0.04450000, 5.64684700, -3.65500000, 3.65500000
0.04500000, 5.64662368, -3.65000000, 3.65000000
0.04550000, 5.64639711, -3.64500000, 3.64500000
0.04600000, 5.64628257, -3.64250000, 3.64250000
0.04650000, 5.64616715, -3.64000000, 3.64000000
0.04700000, 5.64593363, -3.63500000, 3.63500000
0.04750000, 5.64581548, -3.63250000, 3.63250000
0.04800000, 5.64569636, -3.63000000, 3.63000000
0.04850000, 5.64545509, -3.62500000, 3.62500000
0.04900000, 5.64533288, -3.62250000, 3.62250000
0.04950000, 5.64520957, -3.62000000, 3.62000000
0.05000000, 5.64508512, -3.61750000, 3.61750000
0.05050000, 5.64495949, -3.61500000, 3.61500000
0.05100000, 5.64483263, -3.61250000, 3.61250000
0.05150000, 5.64470450, -3.61000000, 3.61000000
0.05200000, 5.64457504, -3.60750000, 3.60750000
0.05250000, 5.64444421, -3.60500000, 3.60500000
0.05300000, 5.64431194, -3.60250000, 3.60250000
0.05350000, 5.64431194, -3.60250000, 3.60250000
0.05400000, 5.64417816, -3.60000000, 3.60000000
0.05450000, 5.64404283, -3.59750000, 3.59750000
0.05500000, 5.64390585, -3.59500000, 3.59500000
0.05550000, 5.64376717, -3.59250000, 3.59250000
0.05600000, 5.64376717, -3.59250000, 3.59250000
0.05650000, 5.64362671, -3.59000000, 3.59000000
0.05700000, 5.64348437, -3.58750000, 3.58750000
0.05750000, 5.64348437, -3.58750000, 3.58750000
0.05800000, 5.64334008, -3.58500000, 3.58500000
0.05850000, 5.64334008, -3.58500000, 3.58500000
0.05900000, 5.64319375, -3.58250000, 3.58250000
0.05950000, 5.64304527, -3.58000000, 3.58000000
0.06000000, 5.64304527, -3.58000000, 3.58000000
0.06050000, 5.64289455, -3.57750000, 3.57750000
0.06100000, 5.64289455, -3.57750000, 3.57750000
0.06150000, 5.64274149, -3.57500000, 3.57500000
0.06200000, 5.64274149, -3.57500000, 3.57500000
0.06250000, 5.64258596, -3.57250000, 3.57250000
0.06300000, 5.64258596, -3.57250000, 3.57250000
0.06350000, 5.64242786, -3.57000000, 3.57000000
0.06400000, 5.64242786, -3.57000000, 3.57000000
0.06450000, 5.64226708, -3.56750000, 3.56750000
0.06500000, 5.64226708, -3.56750000, 3.56750000
0.06550000, 5.64210348, -3.56500000, 3.56500000
0.06600000, 5.64210348, -3.56500000, 3.56500000
0.06650000, 5.64210348, -3.56500000, 3.56500000
0.06700000, 5.64193693, -3.56250000, 3.56250000
0.06750000, 5.64193693, -3.56250000, 3.56250000
0.06800000, 5.64176732, -3.56000000, 3.56000000
0.06850000, 5.64176732, -3.56000000, 3.56000000
0.06900000, 5.64176732, -3.56000000, 3.56000000
0.06950000, 5.64159450, -3.55750000, 3.55750000
0.07000000, 5.64159450, -3.55750000, 3.55750000
0.07050000, 5.64141834, -3.55500000, 3.55500000
0.07100000, 5.64141834, -3.55500000, 3.55500000
0.07150000, 5.64141834, -3.55500000, 3.55500000
0.07200000, 5.64123870, -3.55250000, 3.55250000
0.07250000, 5.64123870, -3.55250000, 3.55250000
0.07300000, 5.64123870, -3.55250000, 3.55250000
0.07350000, 5.64105544, -3.55000000, 3.55000000
0.07400000, 5.64105544, -3.55000000, 3.55000000
0.07450000, 5.64105544, -3.55000000, 3.55000000
0.07500000, 5.64086841, -3.54750000, 3.54750000
0.07550000, 5.64086841, -3.54750000, 3.54750000
0.07600000, 5.64086841, -3.54750000, 3.54750000
0.07650000, 5.64067747, -3.54500000, 3.54500000
0.07700000, 5.64067747, -3.54500000, 3.54500000
0.07750000, 5.64067747, -3.54500000, 3.54500000
0.07800000, 5.64048249, -3.54250000, 3.54250000
0.07850000, 5.64048249, -3.54250000, 3.54250000
0.07900000, 5.64048249, -3.54250000, 3.54250000
0.07950000, 5.64048249, -3.54250000, 3.54250000
0.08000000, 5.64028333, -3.54000000, 3.54000000
0.08050000, 5.64028333, -3.54000000, 3.54000000
0.08100000, 5.64028333, -3.54000000, 3.54000000
0.08150000, 5.64007984, -3.53750000, 3.53750000
0.08200000, 5.64007984, -3.53750000, 3.53750000
0.08250000, 5.64007984, -3.53750000, 3.53750000
0.08300000, 5.64007984, -3.53750000, 3.53750000
0.08350000, 5.63987189, -3.53500000, 3.53500000
0.08400000, 5.63987189, -3.53500000, 3.53500000
0.08450000, 5.63987189, -3.53500000, 3.53500000
0.08500000, 5.63987189, -3.53500000, 3.53500000
0.08550000, 5.63965935, -3.53250000, 3.53250000
0.08600000, 5.63965935, -3.53250000, 3.53250000
0.08650000, 5.63965935, -3.53250000, 3.53250000
0.08700000, 5.63944210, -3.53000000, 3.53000000
0.08750000, 5.63944210, -3.53000000, 3.53000000
0.08800000, 5.63944210, -3.53000000, 3.53000000
